ROOTNAME,OPT_ELEM,CENWAVE,APERTURE,EXPTYPE,OBSTYPE,OBSMODE,PROGRAM,LIFE_ADJ,DATE-OBS
la8n01qoq,G160M,1600,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,1,6/27/09
la7803fiq,N/A,0,N/A,DARK,IMAGING,TIME-TAG, ,-999,6/6/09
la7803fkq,G160M,1600,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/6/09
la7u03a3q,N/A,0,N/A,DARK,IMAGING,TIME-TAG, ,-999,5/28/09
la7u04vqq,N/A,0,N/A,DARK,IMAGING,TIME-TAG, ,-999,5/30/09
la7u04w0q,N/A,0,N/A,DARK,IMAGING,TIME-TAG, ,-999,5/30/09
la7u05xoq,G185M,1850,FCA,FLAT,SPECTROSCOPIC,TIME-TAG, ,-1,5/31/09
la7v01dmq,G185M,1850,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/1/09
la7v01doq,G225M,2250,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/1/09
la7v01dqq,G285M,2850,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/1/09
la7v01dsq,G230L,2950,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/1/09
la7v01duq,MIRRORA,0,WCA,WAVECAL,IMAGING,TIME-TAG, ,-1,6/1/09
la7v01dwq,MIRRORB,0,WCA,WAVECAL,IMAGING,TIME-TAG, ,-1,6/1/09
la7v01dyq,G185M,1850,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/1/09
la7v01e0q,G225M,2250,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/1/09
la7v01e2q,G285M,2850,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/1/09
la7v01e4q,G230L,2950,WCA,WAVECAL,SPECTROSCOPIC,TIME-TAG, ,-1,6/1/09
la7v01e6q,MIRRORA,0,WCA,WAVECAL,IMAGING,TIME-TAG, ,-1,6/1/09
la7v01e8q,MIRRORB,0,WCA,WAVECAL,IMAGING,TIME-TAG, ,-1,6/1/09
